                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.56707,                0.47891,                0.91175,                0.89829,                0.95346,                0.96187,                0.84801,                0.51883,                0.49047,                0.87881,              0.0007624,              0.0007624,              0.0007624
                     75,                0.57775,                0.50139,                0.92096,                0.95635,                0.88775,                0.93943,                0.82903,                0.49352,                0.50704,                0.86918,              0.0007591,              0.0007591,              0.0007591
                     76,                0.56653,                0.48303,                0.91951,                0.92359,                0.89956,                0.94512,                0.83466,                0.50934,                 0.4912,                0.87114,              0.0007558,              0.0007558,              0.0007558
                     77,                0.58018,                0.49497,                0.92199,                0.90078,                0.90987,                0.94678,                0.84097,                0.49222,                0.49691,                0.86671,              0.0007525,              0.0007525,              0.0007525
                     78,                0.56625,                0.47524,                0.91584,                0.95851,                0.88838,                0.95712,                0.85274,                 0.5093,                0.48809,                0.88012,              0.0007492,              0.0007492,              0.0007492
                     79,                0.56047,                0.46855,                0.90779,                0.93449,                0.90303,                0.94608,                0.83509,                0.50638,                0.50374,                0.87263,              0.0007459,              0.0007459,              0.0007459
                     80,                0.54871,                 0.4795,                0.91196,                0.94179,                0.89525,                 0.9487,                0.84368,                0.53109,                0.54887,                0.87773,              0.0007426,              0.0007426,              0.0007426
                     81,                0.55848,                0.48176,                0.90933,                0.92596,                0.87789,                0.94351,                0.84578,                0.50805,                0.49412,                0.88253,              0.0007393,              0.0007393,              0.0007393
                     82,                0.54398,                0.47295,                0.90141,                 0.9587,                0.90835,                0.96497,                0.84894,                0.51066,                0.44217,                0.87622,               0.000736,               0.000736,               0.000736
                     83,                0.55641,                0.46844,                0.90172,                0.97156,                0.90168,                0.96138,                0.85535,                0.51493,                0.45155,                0.88696,              0.0007327,              0.0007327,              0.0007327
                     84,                0.55877,                0.47326,                0.91517,                0.95915,                0.90127,                0.96091,                0.86372,                0.49953,                0.43359,                 0.8882,              0.0007294,              0.0007294,              0.0007294
                     85,                0.56704,                0.48021,                0.91071,                0.94781,                0.92667,                0.96716,                0.86926,                0.48319,                0.42813,                0.86987,              0.0007261,              0.0007261,              0.0007261
                     86,                0.57159,                0.47368,                0.91553,                0.98404,                0.88022,                0.96365,                0.84652,                0.52111,                0.44397,                0.87615,              0.0007228,              0.0007228,              0.0007228
                     87,                0.56003,                0.46736,                 0.9106,                0.95768,                0.90304,                0.97656,                0.87658,                0.48321,                0.40942,                0.86307,              0.0007195,              0.0007195,              0.0007195
                     88,                0.55085,                0.45321,                0.90749,                0.92766,                0.93118,                0.96532,                0.87118,                0.47155,                0.44476,                 0.8593,              0.0007162,              0.0007162,              0.0007162
                     89,                0.55521,                0.46258,                0.90496,                0.96857,                0.92501,                0.96776,                0.86999,                0.49546,                0.44624,                0.86182,              0.0007129,              0.0007129,              0.0007129
                     90,                 0.5475,                0.45789,                0.90493,                0.97704,                0.91372,                0.96369,                0.85986,                0.51256,                0.43415,                0.87673,              0.0007096,              0.0007096,              0.0007096
                     91,                0.53759,                0.44678,                0.89833,                0.95653,                0.92846,                0.96351,                0.85439,                0.51208,                0.46076,                0.88448,              0.0007063,              0.0007063,              0.0007063
                     92,                0.54237,                0.44801,                0.91034,                0.97219,                0.90713,                0.96514,                0.86085,                0.50009,                0.43475,                0.87411,               0.000703,               0.000703,               0.000703
                     93,                0.55027,                0.45011,                0.90444,                0.96463,                 0.8972,                0.96398,                0.85929,                0.48187,                0.43601,                 0.8653,              0.0006997,              0.0006997,              0.0006997
                     94,                0.56335,                0.46263,                0.91445,                0.96155,                0.92098,                0.96573,                0.86479,                0.47629,                0.42639,                0.86115,              0.0006964,              0.0006964,              0.0006964
                     95,                0.54731,                0.45677,                0.89971,                0.94565,                 0.9213,                0.96688,                0.86433,                0.48935,                0.43993,                0.87064,              0.0006931,              0.0006931,              0.0006931
                     96,                0.53655,                0.44149,                0.90259,                0.95521,                0.91922,                0.96352,                0.87146,                0.47344,                0.43432,                0.85814,              0.0006898,              0.0006898,              0.0006898
                     97,                0.52742,                0.43715,                0.90024,                0.93613,                0.91144,                0.95556,                0.86256,                0.48475,                0.43195,                0.87377,              0.0006865,              0.0006865,              0.0006865
                     98,                0.53067,                0.43303,                0.89632,                0.93099,                0.91418,                 0.9618,                0.86802,                0.48572,                0.45659,                 0.8671,              0.0006832,              0.0006832,              0.0006832
                     99,                0.53296,                0.43637,                0.89579,                0.96346,                0.86834,                0.95546,                0.85567,                0.49288,                0.47293,                 0.8768,              0.0006799,              0.0006799,              0.0006799
                    100,                0.53862,                0.44252,                0.90724,                0.97702,                0.88495,                0.95952,                0.85075,                0.48334,                0.45519,                 0.8657,              0.0006766,              0.0006766,              0.0006766
                    101,                0.54055,                0.44148,                0.90048,                0.96456,                0.89807,                0.95954,                 0.8676,                0.47574,                0.43555,                0.87085,              0.0006733,              0.0006733,              0.0006733
                    102,                 0.5259,                0.42523,                0.90131,                0.97515,                0.87897,                0.95425,                0.86166,                0.45654,                0.43636,                0.86033,                0.00067,                0.00067,                0.00067
                    103,                 0.5244,                0.43776,                 0.9013,                0.92807,                 0.9431,                0.96041,                0.86348,                0.48804,                0.43119,                 0.8806,              0.0006667,              0.0006667,              0.0006667
                    104,                0.52581,                0.43967,                0.90351,                0.94251,                0.93528,                 0.9645,                0.85989,                0.46977,                0.42902,                0.86418,              0.0006634,              0.0006634,              0.0006634
                    105,                0.52525,                0.43086,                0.89541,                0.96229,                0.88885,                0.95678,                0.86052,                0.47877,                0.44591,                0.87165,              0.0006601,              0.0006601,              0.0006601
                    106,                0.52266,                0.42559,                0.90194,                0.92972,                 0.9083,                0.95049,                0.85241,                0.46706,                0.46232,                0.86173,              0.0006568,              0.0006568,              0.0006568
                    107,                0.53013,                  0.441,                0.90275,                0.92298,                 0.9007,                0.94028,                0.84258,                0.49656,                0.48145,                0.88072,              0.0006535,              0.0006535,              0.0006535
                    108,                0.52247,                0.43604,                0.89847,                0.96566,                0.87209,                0.95676,                0.85331,                0.48179,                0.46429,                0.86858,              0.0006502,              0.0006502,              0.0006502
                    109,                0.52068,                0.42687,                0.89552,                0.93782,                0.91007,                 0.9545,                 0.8574,                0.50836,                0.43993,                0.88238,              0.0006469,              0.0006469,              0.0006469
                    110,                0.53069,                0.43355,                0.89945,                 0.9537,                0.89686,                0.95557,                0.86768,                0.46756,                0.45584,                0.85704,              0.0006436,              0.0006436,              0.0006436
                    111,                0.52748,                 0.4436,                0.89999,                0.94746,                0.92926,                0.95881,                0.86648,                0.48723,                0.43521,                0.86972,              0.0006403,              0.0006403,              0.0006403
                    112,                 0.5082,                0.41723,                0.88934,                0.95515,                0.91102,                0.96656,                0.87344,                0.46733,                0.41265,                0.85308,               0.000637,               0.000637,               0.000637
                    113,                0.52337,                0.43353,                  0.897,                0.94675,                 0.9204,                0.96847,                0.87253,                0.47623,                0.40975,                0.86227,              0.0006337,              0.0006337,              0.0006337
                    114,                0.52214,                 0.4305,                0.89711,                0.94691,                0.91775,                0.96647,                0.86474,                0.48639,                0.43783,                0.86758,              0.0006304,              0.0006304,              0.0006304
                    115,                0.53198,                0.42869,                0.89588,                0.96591,                0.90109,                0.96591,                0.86785,                0.47157,                 0.4158,                0.86502,              0.0006271,              0.0006271,              0.0006271
                    116,                0.51625,                0.42695,                0.89955,                0.94895,                0.90504,                0.95291,                0.85313,                0.46812,                0.46752,                0.86806,              0.0006238,              0.0006238,              0.0006238
                    117,                0.51878,                0.42185,                0.89231,                 0.9658,                0.90594,                0.96143,                0.86332,                0.48341,                0.44363,                0.86978,              0.0006205,              0.0006205,              0.0006205
                    118,                0.51191,                0.41696,                0.89177,                0.96306,                0.89575,                0.96575,                0.86253,                0.48053,                0.42191,                0.86936,              0.0006172,              0.0006172,              0.0006172
                    119,                0.52019,                0.42598,                0.89779,                0.97923,                0.90884,                0.96327,                0.86821,                0.47666,                 0.4331,                 0.8691,              0.0006139,              0.0006139,              0.0006139
                    120,                0.50884,                0.41414,                0.88849,                0.94293,                 0.9234,                0.96359,                0.85417,                0.48712,                0.45456,                0.86474,              0.0006106,              0.0006106,              0.0006106
                    121,                0.51847,                0.41508,                0.89533,                0.95662,                0.90857,                0.96255,                0.85881,                0.47257,                0.42567,                0.86818,              0.0006073,              0.0006073,              0.0006073
                    122,                0.51617,                0.41935,                0.89351,                0.94426,                0.92236,                0.96125,                0.86301,                0.47883,                0.43376,                0.86489,               0.000604,               0.000604,               0.000604
                    123,                0.50296,                0.41168,                0.88595,                0.94725,                0.93489,                0.97132,                0.87358,                0.47946,                0.41736,                0.86256,              0.0006007,              0.0006007,              0.0006007
                    124,                0.49984,                0.41078,                0.89288,                0.93967,                0.90303,                0.95018,                0.85582,                0.47879,                0.43402,                0.86343,              0.0005974,              0.0005974,              0.0005974
                    125,                0.51161,                 0.4161,                 0.8955,                0.95947,                0.90683,                0.95855,                 0.8602,                0.47852,                0.44273,                0.85864,              0.0005941,              0.0005941,              0.0005941
                    126,                0.50858,                0.41327,                0.89369,                 0.9375,                0.92164,                0.96347,                0.85468,                0.47918,                0.42593,                0.86223,              0.0005908,              0.0005908,              0.0005908
                    127,                0.50764,                0.41155,                0.89431,                 0.9423,                0.92161,                0.96305,                0.86373,                0.46787,                0.41573,                0.85957,              0.0005875,              0.0005875,              0.0005875
                    128,                0.49602,                0.39887,                0.88152,                 0.9744,                0.89182,                0.95579,                0.85731,                 0.4658,                0.42092,                0.85773,              0.0005842,              0.0005842,              0.0005842
                    129,                0.50644,                0.41387,                0.89273,                0.96671,                0.90255,                0.95101,                0.84038,                0.48853,                0.45147,                0.87141,              0.0005809,              0.0005809,              0.0005809
                    130,                 0.5215,                0.41618,                0.89972,                0.95407,                0.91568,                0.95587,                0.85766,                0.47421,                0.42733,                0.86361,              0.0005776,              0.0005776,              0.0005776
                    131,                0.50124,                0.40088,                0.88168,                0.96362,                0.92269,                0.95853,                0.85878,                0.47454,                0.41061,                0.86622,              0.0005743,              0.0005743,              0.0005743
                    132,                0.49724,                0.40043,                0.88294,                0.96504,                0.90386,                0.96633,                0.87425,                0.47036,                0.41242,                0.86795,               0.000571,               0.000571,               0.000571
                    133,                0.49528,                0.40435,                0.88594,                0.97657,                0.90388,                 0.9656,                0.87143,                0.46589,                0.42298,                 0.8685,              0.0005677,              0.0005677,              0.0005677
                    134,                0.50643,                0.40671,                0.89242,                 0.9738,                0.88679,                0.96976,                0.87601,                0.47449,                0.39776,                0.86131,              0.0005644,              0.0005644,              0.0005644
