                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.68023,                0.57896,                0.98332,                0.94366,                 0.8506,                0.93417,                0.81134,                0.57398,                0.52214,                0.92958,              0.0076438,              0.0076438,              0.0076438
                    122,                0.67421,                0.58605,                0.97225,                 0.9039,                0.88723,                0.93007,                0.81868,                0.55205,                0.56382,                0.91593,               0.007624,               0.007624,               0.007624
                    123,                0.66551,                0.57849,                0.96685,                0.94238,                0.86977,                0.93586,                0.81222,                0.57761,                0.54083,                0.92617,              0.0076042,              0.0076042,              0.0076042
                    124,                0.65823,                0.57036,                0.98096,                0.92953,                0.88024,                0.94072,                0.80602,                0.57892,                0.52005,                0.93515,              0.0075844,              0.0075844,              0.0075844
                    125,                0.67286,                0.57744,                0.98226,                 0.9458,                0.84883,                0.92858,                0.79156,                0.58876,                0.59553,                0.95203,              0.0075646,              0.0075646,              0.0075646
                    126,                0.66076,                0.58253,                0.97386,                0.92849,                0.90487,                0.94164,                0.81805,                0.56252,                0.48954,                0.93234,              0.0075448,              0.0075448,              0.0075448
                    127,                0.65217,                0.57109,                0.97829,                0.89219,                0.93262,                0.95008,                0.83974,                0.55017,                 0.4699,                0.91981,               0.007525,               0.007525,               0.007525
                    128,                0.64667,                0.55687,                 0.9603,                0.86626,                0.90751,                0.94895,                0.83128,                0.56959,                0.48535,                0.92346,              0.0075052,              0.0075052,              0.0075052
                    129,                0.68039,                 0.5885,                0.98754,                0.88989,                0.87648,                0.94044,                0.82157,                0.56069,                 0.5402,                0.92417,              0.0074854,              0.0074854,              0.0074854
                    130,                0.70287,                0.60382,                0.99439,                0.92722,                0.83793,                0.91599,                0.78972,                 0.5999,                0.60413,                 0.9464,              0.0074656,              0.0074656,              0.0074656
                    131,                0.69918,                0.57456,                0.98022,                0.88738,                0.87436,                0.92566,                0.79777,                0.59616,                0.55668,                0.94625,              0.0074458,              0.0074458,              0.0074458
                    132,                0.68025,                   0.57,                0.97229,                 0.9298,                0.88776,                0.94261,                0.83112,                0.55377,                0.51456,                0.93157,               0.007426,               0.007426,               0.007426
                    133,                0.66543,                0.56315,                0.97231,                0.94851,                0.85751,                0.93354,                0.81755,                0.55688,                0.52916,                 0.9405,              0.0074062,              0.0074062,              0.0074062
                    134,                0.66321,                0.56854,                0.98125,                0.89059,                0.83958,                0.91289,                0.80217,                0.54996,                0.61425,                0.93224,              0.0073864,              0.0073864,              0.0073864
                    135,                0.66247,                0.57768,                0.98347,                0.94983,                0.85038,                 0.9302,                0.80491,                0.57148,                0.54365,                0.92998,              0.0073666,              0.0073666,              0.0073666
                    136,                0.67016,                0.58438,                0.97225,                 0.9628,                0.89736,                0.94911,                0.82299,                0.57034,                0.49377,                0.93998,              0.0073468,              0.0073468,              0.0073468
                    137,                0.66384,                0.56646,                0.97917,                0.95853,                0.87518,                0.93687,                0.81645,                0.58731,                  0.477,                0.96034,               0.007327,               0.007327,               0.007327
                    138,                0.65939,                0.56479,                0.96751,                0.93063,                0.90433,                0.95715,                0.83173,                0.58224,                 0.4721,                0.94768,              0.0073072,              0.0073072,              0.0073072
                    139,                0.67112,                0.56397,                0.97303,                0.92448,                0.84665,                0.91557,                0.77146,                0.67184,                0.62114,                 1.0129,              0.0072874,              0.0072874,              0.0072874
                    140,                0.67139,                0.57787,                0.96942,                0.95048,                0.90388,                0.94277,                 0.8179,                0.60948,                0.51496,                0.95545,              0.0072676,              0.0072676,              0.0072676
                    141,                0.65212,                0.54581,                0.97402,                0.91969,                0.86469,                0.94172,                0.82192,                0.55552,                0.51399,                 0.9263,              0.0072478,              0.0072478,              0.0072478
                    142,                0.66644,                0.56554,                0.97715,                0.96315,                0.89479,                0.95187,                0.82567,                0.55075,                0.48121,                  0.947,               0.007228,               0.007228,               0.007228
                    143,                0.68094,                 0.5716,                0.98435,                0.94987,                0.92247,                0.96475,                0.84782,                0.57078,                0.47702,                0.93355,              0.0072082,              0.0072082,              0.0072082
                    144,                0.67372,                0.56248,                0.97913,                0.92428,                0.89009,                0.95311,                0.82758,                0.57857,                0.48414,                0.92461,              0.0071884,              0.0071884,              0.0071884
                    145,                0.67351,                0.55308,                0.97475,                0.96143,                0.89853,                0.95269,                0.82999,                0.55068,                0.49834,                0.93054,              0.0071686,              0.0071686,              0.0071686
                    146,                0.65162,                0.55788,                0.96752,                0.91771,                0.86219,                0.94293,                0.82884,                0.56364,                0.52204,                0.92849,              0.0071488,              0.0071488,              0.0071488
